Date,AverageTemperature,IsHoliday,Season
2020-02-19,7.4,False,Heating
2020-02-20,8.7,False,Heating
2020-02-21,9.5,False,Heating
2020-02-22,10.9,True,Intermediate
2020-02-23,9.2,True,Heating
2020-02-24,8.8,True,Heating
2020-02-25,11.2,False,Intermediate
2020-02-26,10.4,False,Intermediate
2020-02-27,6.4,False,Heating
2020-02-28,7.0,False,Heating
2020-02-29,8.5,True,Heating
2020-03-01,10.6,True,Intermediate
2020-03-02,12.3,False,Intermediate
2020-03-03,10.5,False,Intermediate
2020-03-04,9.4,False,Heating
2020-03-05,7.2,False,Heating
2020-03-06,7.7,False,Heating
2020-03-07,9.4,True,Heating
2020-03-08,11.0,True,Intermediate
2020-03-09,12.4,False,Intermediate
2020-03-10,14.8,False,Intermediate
2020-03-11,12.5,False,Intermediate
2020-03-12,9.9,False,Heating
2020-03-13,11.5,False,Intermediate
2020-03-14,9.3,True,Heating
2020-03-15,8.4,True,Heating
2020-03-16,5.9,False,Heating
2020-03-17,8.6,False,Heating
2020-03-18,12.9,False,Intermediate
2020-03-19,15.2,False,Intermediate
2020-03-20,12.7,True,Intermediate
2020-03-21,13.2,True,Intermediate
2020-03-22,15.5,True,Intermediate
2020-03-23,12.5,False,Intermediate
2020-03-24,9.9,False,Heating
2020-03-25,10.0,False,Heating
2020-03-26,14.2,False,Intermediate
2020-03-27,16.9,False,Intermediate
2020-03-28,13.6,True,Intermediate
2020-03-29,9.9,True,Heating
2020-03-30,11.1,False,Intermediate
2020-03-31,15.4,False,Intermediate
